original_filename,new_filename,previous_public_path,original_path,new_path,category,duration_seconds,resolution,width,height,orientation,codec,codec_profile,pixel_format,audio_codec,frame_rate,size_bytes,sha256,duplicate_status,kept_original_filename,poster_path,proposed_page_placements,related_collections,conversion_status,visual_review_group
AQM-ToJqW1LFcyf3TIHmeOoTui96kG3KJI91ihFjPgjrfMqynkipnBfD-3sqiIwAvKAo2Haq3Xl96rqCJBUXsGqOSU_lOn9jMFtTmcs3rEwf4Q.mp4,blush-photo-invitation-suite-01.mp4,public/media/video/AQM-ToJqW1LFcyf3TIHmeOoTui96kG3KJI91ihFjPgjrfMqynkipnBfD-3sqiIwAvKAo2Haq3Xl96rqCJBUXsGqOSU_lOn9jMFtTmcs3rEwf4Q.mp4,media-source/videos-original/AQM-ToJqW1LFcyf3TIHmeOoTui96kG3KJI91ihFjPgjrfMqynkipnBfD-3sqiIwAvKAo2Haq3Xl96rqCJBUXsGqOSU_lOn9jMFtTmcs3rEwf4Q.mp4,public/media/motion/collections/blush-photo-invitation-suite-01.mp4,collections,34.402,720x1280,720,1280,portrait,h264,High,yuv420p,aac,29.97,3921473,75cb0bf33036bcebbbca0e64bb83487f390f9a3bbc86c767344e845cbd06d791,unique,AQM-ToJqW1LFcyf3TIHmeOoTui96kG3KJI91ihFjPgjrfMqynkipnBfD-3sqiIwAvKAo2Haq3Xl96rqCJBUXsGqOSU_lOn9jMFtTmcs3rEwf4Q.mp4,public/media/motion/collections/blush-photo-invitation-suite-01-poster.jpg,home|collections|collection-detail|gallery,,production-ready,
AQMBlZXlWZbC9In6KTWoeHRmmX2Mt1tjIfq0RNgV4zQUQP316tG8hozZmBxqhevOI5Vxmo-KxUAq8dViL_2kASOlfku1jGl4QkO6evLnE7DbKw.mp4,red-box-black-gold-presentation-01.mp4,public/media/video/AQMBlZXlWZbC9In6KTWoeHRmmX2Mt1tjIfq0RNgV4zQUQP316tG8hozZmBxqhevOI5Vxmo-KxUAq8dViL_2kASOlfku1jGl4QkO6evLnE7DbKw.mp4,media-source/videos-original/AQMBlZXlWZbC9In6KTWoeHRmmX2Mt1tjIfq0RNgV4zQUQP316tG8hozZmBxqhevOI5Vxmo-KxUAq8dViL_2kASOlfku1jGl4QkO6evLnE7DbKw.mp4,public/media/motion/packaging-and-presentation/red-box-black-gold-presentation-01.mp4,packaging-and-presentation,34.8,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,4059308,348cc6ab4253e5e3d688ee7d517e8e1b6ce635eeceba978c8711aeadc494a852,unique,AQMBlZXlWZbC9In6KTWoeHRmmX2Mt1tjIfq0RNgV4zQUQP316tG8hozZmBxqhevOI5Vxmo-KxUAq8dViL_2kASOlfku1jGl4QkO6evLnE7DbKw.mp4,public/media/motion/packaging-and-presentation/red-box-black-gold-presentation-01-poster.jpg,home|collection-detail|gallery,,production-ready,
AQMgtutafQ14bi6clVu8XKJgIJXBX0zAW_8bUVVVI6zuwIlxHaYkbd8S1zFQEwCGDuhCbcDu_WOmRJRz4Dd4wI2vXFpt9odjTQmuyThmegLBxA.mp4,champagne-gold-relief-detail-01.mp4,public/media/video/AQMgtutafQ14bi6clVu8XKJgIJXBX0zAW_8bUVVVI6zuwIlxHaYkbd8S1zFQEwCGDuhCbcDu_WOmRJRz4Dd4wI2vXFpt9odjTQmuyThmegLBxA.mp4,media-source/videos-original/AQMgtutafQ14bi6clVu8XKJgIJXBX0zAW_8bUVVVI6zuwIlxHaYkbd8S1zFQEwCGDuhCbcDu_WOmRJRz4Dd4wI2vXFpt9odjTQmuyThmegLBxA.mp4,public/media/motion/details-and-finishes/champagne-gold-relief-detail-01.mp4,details-and-finishes,31.866,720x1280,720,1280,portrait,h264,High,yuv420p,aac,29.97,6270771,54c1d3778b8f06a6a094f851fa1b81a3ffd24b3298d803e465ee0711656bb691,unique,AQMgtutafQ14bi6clVu8XKJgIJXBX0zAW_8bUVVVI6zuwIlxHaYkbd8S1zFQEwCGDuhCbcDu_WOmRJRz4Dd4wI2vXFpt9odjTQmuyThmegLBxA.mp4,public/media/motion/details-and-finishes/champagne-gold-relief-detail-01-poster.jpg,home|our-craft|gallery,champagne-sculpted-bird-suite,production-ready,ornate-relief-folder-details
AQMiJknrsIP-HV8sE2SdvH_lMFjROYUO5NcAY9YDOCC9Q6P5DDIc9wK101brqNkIIEeGRZND7P8eQBfh2YajmgutJeSMMwRvXmlSPDeyniq6Iw.mp4,floral-illustration-invitation-suite-01.mp4,public/media/video/AQMiJknrsIP-HV8sE2SdvH_lMFjROYUO5NcAY9YDOCC9Q6P5DDIc9wK101brqNkIIEeGRZND7P8eQBfh2YajmgutJeSMMwRvXmlSPDeyniq6Iw.mp4,media-source/videos-original/AQMiJknrsIP-HV8sE2SdvH_lMFjROYUO5NcAY9YDOCC9Q6P5DDIc9wK101brqNkIIEeGRZND7P8eQBfh2YajmgutJeSMMwRvXmlSPDeyniq6Iw.mp4,public/media/motion/collections/floral-illustration-invitation-suite-01.mp4,collections,14.467,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,2639959,dc426794f507bb0b4c09acb4556911e1d4d928cf4310fe964266ed6159002568,unique,AQMiJknrsIP-HV8sE2SdvH_lMFjROYUO5NcAY9YDOCC9Q6P5DDIc9wK101brqNkIIEeGRZND7P8eQBfh2YajmgutJeSMMwRvXmlSPDeyniq6Iw.mp4,public/media/motion/collections/floral-illustration-invitation-suite-01-poster.jpg,collections|collection-detail|gallery,illustrated-romance-suite,production-ready,
AQMLBncm9icaAxh-_frLH_gwk21lMS9zxlaMdyrM7HCi0IM4-36Pt1OcGlU7qgntcPgmtXJom-GqcSi53ecZnYRVIYUUMi8lfBs.mp4,grey-certificate-folder-suite-01.mp4,public/media/video/AQMLBncm9icaAxh-_frLH_gwk21lMS9zxlaMdyrM7HCi0IM4-36Pt1OcGlU7qgntcPgmtXJom-GqcSi53ecZnYRVIYUUMi8lfBs.mp4,media-source/videos-original/AQMLBncm9icaAxh-_frLH_gwk21lMS9zxlaMdyrM7HCi0IM4-36Pt1OcGlU7qgntcPgmtXJom-GqcSi53ecZnYRVIYUUMi8lfBs.mp4,public/media/motion/collections/grey-certificate-folder-suite-01.mp4,collections,30.931,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,29.97,9729902,a0788ac2bbcbcde31db7404430246ea9ecbe4ba0301d5fb1aacad056f3a15615,unique,AQMLBncm9icaAxh-_frLH_gwk21lMS9zxlaMdyrM7HCi0IM4-36Pt1OcGlU7qgntcPgmtXJom-GqcSi53ecZnYRVIYUUMi8lfBs.mp4,public/media/motion/collections/grey-certificate-folder-suite-01-poster.jpg,collections|collection-detail|gallery,modern-grey-luxury-suite,convert-to-h264,
AQMLf1XhNS2QEq-bTsqAupR9ySDpsrFkCIxBeW9bK-oiKvDBIT8lgGEx1z6ITP-RSp9UPpUMveWJljIaHC0XbZe0FHhPNBHFMezSXzv4ZlWjPA.mp4,brown-gold-relief-folder-detail-01.mp4,public/media/video/AQMLf1XhNS2QEq-bTsqAupR9ySDpsrFkCIxBeW9bK-oiKvDBIT8lgGEx1z6ITP-RSp9UPpUMveWJljIaHC0XbZe0FHhPNBHFMezSXzv4ZlWjPA.mp4,media-source/videos-original/AQMLf1XhNS2QEq-bTsqAupR9ySDpsrFkCIxBeW9bK-oiKvDBIT8lgGEx1z6ITP-RSp9UPpUMveWJljIaHC0XbZe0FHhPNBHFMezSXzv4ZlWjPA.mp4,public/media/motion/details-and-finishes/brown-gold-relief-folder-detail-01.mp4,details-and-finishes,20.428,720x1280,720,1280,portrait,h264,High,yuv420p,aac,26.973,3123125,87c5a311390e16dbf19f5dae1bff0f28fa9f9329e4ce4bb93da9cdef59674451,unique,AQMLf1XhNS2QEq-bTsqAupR9ySDpsrFkCIxBeW9bK-oiKvDBIT8lgGEx1z6ITP-RSp9UPpUMveWJljIaHC0XbZe0FHhPNBHFMezSXzv4ZlWjPA.mp4,public/media/motion/details-and-finishes/brown-gold-relief-folder-detail-01-poster.jpg,our-craft|gallery,warm-brown-script-folders,production-ready,ornate-relief-folder-details
AQMVzjjvQ4dy-7I0q1oS2oKF8t5EgIz4YGLTeI_weGGsB5lKH8KGsEvz_KYPfjvnhdBaZaBGbg8Ib_K9AUg9In6OR_AuJ62PBO8.mp4,pink-boxed-invitation-presentation-01.mp4,public/media/video/AQMVzjjvQ4dy-7I0q1oS2oKF8t5EgIz4YGLTeI_weGGsB5lKH8KGsEvz_KYPfjvnhdBaZaBGbg8Ib_K9AUg9In6OR_AuJ62PBO8.mp4,media-source/videos-original/AQMVzjjvQ4dy-7I0q1oS2oKF8t5EgIz4YGLTeI_weGGsB5lKH8KGsEvz_KYPfjvnhdBaZaBGbg8Ib_K9AUg9In6OR_AuJ62PBO8.mp4,public/media/motion/packaging-and-presentation/pink-boxed-invitation-presentation-01.mp4,packaging-and-presentation,27.294,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,29.971,6112810,6ea117bfa68581dff089b00e2aab74d7208d6447c6f52790505c960817b6ac3e,unique,AQMVzjjvQ4dy-7I0q1oS2oKF8t5EgIz4YGLTeI_weGGsB5lKH8KGsEvz_KYPfjvnhdBaZaBGbg8Ib_K9AUg9In6OR_AuJ62PBO8.mp4,public/media/motion/packaging-and-presentation/pink-boxed-invitation-presentation-01-poster.jpg,home|collection-detail|gallery,,convert-to-h264,boxed-presentation-variants
AQMWVLT1rnHEtKXRlQfSFVYkTAj8gSTz7W5cbkBm3lJ98FpA35tsmGJDCTSBSSsOgnkZerN9dUZ-7V-9pDEl_zL7r-5du1xyemyJWv3GXcWtgA.mp4,green-stationery-preparation-01.mp4,public/media/video/AQMWVLT1rnHEtKXRlQfSFVYkTAj8gSTz7W5cbkBm3lJ98FpA35tsmGJDCTSBSSsOgnkZerN9dUZ-7V-9pDEl_zL7r-5du1xyemyJWv3GXcWtgA.mp4,media-source/videos-original/AQMWVLT1rnHEtKXRlQfSFVYkTAj8gSTz7W5cbkBm3lJ98FpA35tsmGJDCTSBSSsOgnkZerN9dUZ-7V-9pDEl_zL7r-5du1xyemyJWv3GXcWtgA.mp4,public/media/motion/process-and-making/green-stationery-preparation-01.mp4,process-and-making,37.134,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,4426552,316c0cba6efcfa9adba7961799a115280a719d9808177e76eddac74790d49a9f,unique,AQMWVLT1rnHEtKXRlQfSFVYkTAj8gSTz7W5cbkBm3lJ98FpA35tsmGJDCTSBSSsOgnkZerN9dUZ-7V-9pDEl_zL7r-5du1xyemyJWv3GXcWtgA.mp4,public/media/motion/process-and-making/green-stationery-preparation-01-poster.jpg,our-craft|gallery,,production-ready,
AQN1dC9vFl9ELZQgSuD8156zjp80S8QvdOtmU8pRE5zlobg06JHemjZkUroL3uEFz8K-lam2HJvK9KMJKqoWr5G8TjNbPapxudfucjUhRVH37g.mp4,lace-edge-invitation-suite-01.mp4,public/media/video/AQN1dC9vFl9ELZQgSuD8156zjp80S8QvdOtmU8pRE5zlobg06JHemjZkUroL3uEFz8K-lam2HJvK9KMJKqoWr5G8TjNbPapxudfucjUhRVH37g.mp4,media-source/videos-original/AQN1dC9vFl9ELZQgSuD8156zjp80S8QvdOtmU8pRE5zlobg06JHemjZkUroL3uEFz8K-lam2HJvK9KMJKqoWr5G8TjNbPapxudfucjUhRVH37g.mp4,public/media/motion/collections/lace-edge-invitation-suite-01.mp4,collections,21,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,3745825,67dd1433c8a691661c5d32fadea1d0100cb27a6c36db822b795c57e1818e1ae7,unique,AQN1dC9vFl9ELZQgSuD8156zjp80S8QvdOtmU8pRE5zlobg06JHemjZkUroL3uEFz8K-lam2HJvK9KMJKqoWr5G8TjNbPapxudfucjUhRVH37g.mp4,public/media/motion/collections/lace-edge-invitation-suite-01-poster.jpg,collections|collection-detail|gallery,scalloped-ivory-gold-suite,production-ready,
AQN20Nk328JLS230kbPNdpcDllXKQW4p0XWPvLXNQrDvFE83Qft_7HWvgBuX0L-oH318-D4c9PobJ3QTx5AboNRWBrRxg4Ms6YrCxLuPl1IMBg.mp4,illustrated-pop-up-invitation-suite-01.mp4,public/media/video/AQN20Nk328JLS230kbPNdpcDllXKQW4p0XWPvLXNQrDvFE83Qft_7HWvgBuX0L-oH318-D4c9PobJ3QTx5AboNRWBrRxg4Ms6YrCxLuPl1IMBg.mp4,media-source/videos-original/AQN20Nk328JLS230kbPNdpcDllXKQW4p0XWPvLXNQrDvFE83Qft_7HWvgBuX0L-oH318-D4c9PobJ3QTx5AboNRWBrRxg4Ms6YrCxLuPl1IMBg.mp4,public/media/motion/collections/illustrated-pop-up-invitation-suite-01.mp4,collections,29.934,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,5228939,a1fbd723c88a989fb886d92e76f89bbd15e23e3d15811405979d788d03d853be,unique,AQN20Nk328JLS230kbPNdpcDllXKQW4p0XWPvLXNQrDvFE83Qft_7HWvgBuX0L-oH318-D4c9PobJ3QTx5AboNRWBrRxg4Ms6YrCxLuPl1IMBg.mp4,public/media/motion/collections/illustrated-pop-up-invitation-suite-01-poster.jpg,home|collections|collection-detail|gallery,illustrated-romance-suite,production-ready,
